observation_date,LREM25FEUSM156N
1981-09-01,61.0613925183462
1981-10-01,62.0263057993345
1981-11-01,62.2745814850315
1981-12-01,61.8549589443468
1982-01-01,61.1888577902172
1982-02-01,61.5722363898437
1982-03-01,61.5638352040026
1982-04-01,61.2769907397176
1982-05-01,61.5306550179804
1982-06-01,60.5774948791930
1982-07-01,60.0303416736291
1982-08-01,60.1444185944427
1982-09-01,61.4257234867571
1982-10-01,61.8153193536396
1982-11-01,61.6998057489578
1982-12-01,61.6126568466994
1983-01-01,61.0286909352330
1983-02-01,61.2139268860231
1983-03-01,61.4649819808085
1983-04-01,61.7863799904634
1983-05-01,61.6572912159238
1983-06-01,60.9689194151062
1983-07-01,60.6670835040210
1983-08-01,61.2926136363636
1983-09-01,63.0169061889111
1983-10-01,63.4116007290662
1983-11-01,63.7879371602243
1983-12-01,63.4627299335569
1984-01-01,62.6982944019760
1984-02-01,63.2850857616528
1984-03-01,63.7374294564433
1984-04-01,64.0081323196171
1984-05-01,64.6979241533844
1984-06-01,63.6093176351437
1984-07-01,62.8712245671680
1984-08-01,63.0258814624814
1984-09-01,64.1875301672578
1984-10-01,64.9099287808965
1984-11-01,64.9940412720316
1984-12-01,65.0240033395951
1985-01-01,64.5874120048319
1985-02-01,64.9404130529731
1985-03-01,65.5012138692341
1985-04-01,65.4833695990053
1985-05-01,65.1522984346244
1985-06-01,64.4851135824375
1985-07-01,63.8265884049017
1985-08-01,64.1014042806916
1985-09-01,65.8467477003942
1985-10-01,66.4227592285146
1985-11-01,66.6871240947588
1985-12-01,66.7285903848117
1986-01-01,66.0663468574681
1986-02-01,65.7957244655582
1986-03-01,66.2472137791287
1986-04-01,66.3827635039450
1986-05-01,66.5448303715670
1986-06-01,65.8959071865936
1986-07-01,65.7023962688968
1986-08-01,65.6801171820134
1986-09-01,67.1815522699042
1986-10-01,68.1698143405890
1986-11-01,67.9270169267971
1986-12-01,67.9964096938267
1987-01-01,66.9968769270554
1987-02-01,67.4952844237069
1987-03-01,67.9302486872090
1987-04-01,68.3419371427441
1987-05-01,68.7121047538167
1987-06-01,67.7439072482057
1987-07-01,67.3637204178388
1987-08-01,67.3106782759095
1987-09-01,68.5736707867373
1987-10-01,69.3526588972676
1987-11-01,69.5129578235547
1987-12-01,69.3766831895710
1988-01-01,68.5973590932108
1988-02-01,68.6840212298540
1988-03-01,69.3639486811203
1988-04-01,69.3225856456363
1988-05-01,69.4634636957951
1988-06-01,68.5527789579390
1988-07-01,68.2030225923356
1988-08-01,68.3245468888290
1988-09-01,69.3829721838020
1988-10-01,70.3734948999156
1988-11-01,70.8791419268339
1988-12-01,70.7132744040102
1989-01-01,70.4319951152496
1989-02-01,70.4421309072914
1989-03-01,70.3450502288308
1989-04-01,70.5369331108752
1989-05-01,70.4826123191151
1989-06-01,69.5617620345141
1989-07-01,69.1178692859841
1989-08-01,69.1391078094951
1989-09-01,70.5991980572655
1989-10-01,71.1081050614361
1989-11-01,71.5598739495798
1989-12-01,71.1748505910786
1990-01-01,70.7256451944460
1990-02-01,70.6842517628624
1990-03-01,70.8051376694070
1990-04-01,70.9220254390376
1990-05-01,71.2878097752329
1990-06-01,70.4338132837901
1990-07-01,69.9380241965412
1990-08-01,69.6907407407407
1990-09-01,70.3888611527154
1990-10-01,70.9235315847802
1990-11-01,70.6391919787673
1990-12-01,70.5123717228292
1991-01-01,69.6823179027098
1991-02-01,70.0317716846339
1991-03-01,69.9996329332306
1991-04-01,70.5697014105148
1991-05-01,70.5275481085827
1991-06-01,69.9532403010156
1991-07-01,69.4721097369669
1991-08-01,69.1507009132836
1991-09-01,69.9941739795361
1991-10-01,70.5590310613225
1991-11-01,70.4618845470048
1991-12-01,70.3367406118602
1992-01-01,69.9412137107714
1992-02-01,70.0043299415458
1992-03-01,70.0120809967724
1992-04-01,70.4504504504504
1992-05-01,70.6574755673944
1992-06-01,70.0773242222622
1992-07-01,69.5097863171126
1992-08-01,69.3241522764359
1992-09-01,69.9690291627133
1992-10-01,70.5061050825035
1992-11-01,70.6541922582488
1992-12-01,70.4048013392460
1993-01-01,69.7391366240792
1993-02-01,70.0152829115724
1993-03-01,70.3692520824823
1993-04-01,70.0986655309483
1993-05-01,70.5570338832712
1993-06-01,69.9755423224160
1993-07-01,69.5963046209936
1993-08-01,69.6781609195402
1993-09-01,70.4328790339665
1993-10-01,71.0796235592683
1993-11-01,71.3350232361639
1993-12-01,71.4808172451384
1994-01-01,70.7664195101381
1994-02-01,71.3140632125443
1994-03-01,71.1747077688789
1994-04-01,71.2480971461567
1994-05-01,71.5784320581859
1994-06-01,70.4583981405428
1994-07-01,70.6196637158871
1994-08-01,70.8779704784171
1994-09-01,72.2136101579782
1994-10-01,72.5606150206978
1994-11-01,72.7397498262682
1994-12-01,72.3690833666013
1995-01-01,71.5613350671868
1995-02-01,72.1929020089633
1995-03-01,72.2188586552267
1995-04-01,72.2731043063524
1995-05-01,72.3017421482466
1995-06-01,71.1971709504916
1995-07-01,71.3941148094549
1995-08-01,71.3255293510071
1995-09-01,72.4777422570554
1995-10-01,72.9814624098867
1995-11-01,73.3450969642980
1995-12-01,72.9918390391624
1996-01-01,72.0538202458498
1996-02-01,72.4449000512558
1996-03-01,72.7373633879781
1996-04-01,72.6342536537117
1996-05-01,72.7190697516046
1996-06-01,72.1537074523279
1996-07-01,72.0311916006931
1996-08-01,72.1777340436361
1996-09-01,73.2352841505981
1996-10-01,73.7323133166340
1996-11-01,73.7858169216465
1996-12-01,73.5126737254505
1997-01-01,72.9353771355257
1997-02-01,72.9286521687784
1997-03-01,73.4287450212651
1997-04-01,73.5735735735736
1997-05-01,73.4599390541610
1997-06-01,73.0765347334410
1997-07-01,72.9785659006023
1997-08-01,73.2304121890924
1997-09-01,74.1011547577026
1997-10-01,74.3806930859467
1997-11-01,74.1799563538694
1997-12-01,74.1848874867854
1998-01-01,73.2259308310003
1998-02-01,73.5147187018038
1998-03-01,73.7493709109210
1998-04-01,73.5234420867231
1998-05-01,73.6605871811620
1998-06-01,73.0861384313791
1998-07-01,72.7845872667214
1998-08-01,73.0283304606838
1998-09-01,74.1790320691905
1998-10-01,74.2392559010991
1998-11-01,74.1983432427016
1998-12-01,74.5317477525560
1999-01-01,74.2593330676232
1999-02-01,74.2270439102191
1999-03-01,74.1054066182459
1999-04-01,73.9810087639067
1999-05-01,74.3642132190495
1999-06-01,73.6890966661693
1999-07-01,72.7822614056311
1999-08-01,73.2431447873891
1999-09-01,74.4038945555703
1999-10-01,74.9457790433933
1999-11-01,74.9781089431163
1999-12-01,74.7840422024398
2000-01-01,74.4387746784264
2000-02-01,74.7154696582380
2000-03-01,74.9001450952901
2000-04-01,75.1525434789702
2000-05-01,74.6171248148691
2000-06-01,73.6917492716116
2000-07-01,72.8608343761681
2000-08-01,72.7122139759975
2000-09-01,73.9410771129734
2000-10-01,74.3435554979253
2000-11-01,74.5494362884257
2000-12-01,74.6452637035117
2001-01-01,74.2486493481285
2001-02-01,74.3765162542455
2001-03-01,74.6820921326892
2001-04-01,74.0541064049587
